"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\A S\source\AdminArchive\ViewModel\AccountVM.cs", "C#", 19, 0, 3, 22
"c:\Users\A S\source\AdminArchive\ViewModel\BaseViewModel.cs", "C#", 14, 0, 2, 16
"c:\Users\A S\source\AdminArchive\ViewModel\ContainerVM.cs", "C#", 23, 0, 3, 26
"c:\Users\A S\source\AdminArchive\ViewModel\EditBaseVM.cs", "C#", 47, 0, 4, 51
"c:\Users\A S\source\AdminArchive\ViewModel\FundPageVM.cs", "C#", 142, 11, 17, 170
"c:\Users\A S\source\AdminArchive\ViewModel\FundWindowVM.cs", "C#", 80, 0, 8, 88
"c:\Users\A S\source\AdminArchive\ViewModel\InventoryPageVM.cs", "C#", 52, 3, 7, 62
"c:\Users\A S\source\AdminArchive\ViewModel\InventoryWindowVM.cs", "C#", 83, 0, 8, 91
"c:\Users\A S\source\AdminArchive\ViewModel\MainPageVM.cs", "C#", 11, 0, 3, 14
"c:\Users\A S\source\AdminArchive\ViewModel\PageBaseVM.cs", "C#", 32, 9, 5, 46
"Total", "-", 503, 23, 60, 586
